ID,名称,生命值,攻击力,防御力,法术抗性,攻击间隔,移动速度,攻击范围半径,法伤,特殊能力
36,阿咬,1500,435,120,10,2,1.1,,0,
35,狂暴的猎狗pro,1500,555,0,20,1.4,1.9,,0,
34,萨卡兹大剑手,3750,900,230,50,2,0.85,,0,
33,重装防御者,3000,900,800,0,2.6,0.75,,0,
32,风情街星术师,3500,570,250,50,3.2,0.7,3.5,1,
31,温顺的武装驮兽,32500,2700,50,50,5,0.6,,0,
30,泥岩巨像,50000,4500,700,30,7,0.4,,0,
29,宿主流浪者,5500,975,200,30,3,0.65,,0,250/s生命恢复
28,狂暴宿主组长,15000,2625,230,30,1.3,1.2,,0,每秒受到500真实伤害
27,染污躯壳,2000,600,200,0,1.5,1,,0,受到伤害后自身移动速度+300%持续2s(冷却5s)
26,田鼷力士,9500,1050,200,20,3,0.3,,0,受到伤害后自身移动速度+300%持续5s(冷却10s)
25,码头水手,5000,1200,800,20,3.5,0.7,,0,0/3攻回，造成攻击使目标眩晕7s
24,逐腐兽,6000,825,150,20,1.8,1.4,,0,受到攻击的目标10s内每s受到100点无来源法术伤害
23,散华骑士团学徒,3750,525,300,60,3.2,0.7,2.2,1,25/25自回技能：蓄力7s后对剑雨范围内敌人造成攻击力250%法术伤害
22,残党萨克斯手,8750,1200,650,20,4.5,0.8,,0,10/20自回技能：向自身四周造成攻击力150%点物理伤害
21,弧光锋卫长,7000,1200,650,50,3,0.75,,1,失衡状态，每0.066s受到400点无来源真实持续伤害
20,矿脉守卫,12500,600,300,10,4,0.6,,1,嘲讽+1，受到攻击反伤200点法伤
19,固海凿石者,3000,450,200,10,2.5,0.9,2.4,0,首次攻击后，20s内防御力+300且自缚
18,山海众窥魅人,5000,600,200,40,2.5,0.8,2,1,10/35自回技能：锁定1名单位，蓄力5s，造成攻击力200%的法术伤害，随后20s攻击速度+100
17,呼啸骑士团学徒,1400,450,100,0,2.4,0.9,2,0,出场时防御力+3000，法抗+95，持续30s
16,投石机,5000,1200,700,20,3,0.7,2.5,0,首次攻击造成攻击力150%的十字溅射法术伤害
15,高能源石虫,1230,390,0,0,1.7,1,,0,死亡后对半径1.25的单位造成攻击力400%的物理溅射伤害
14,高塔术师,3500,900,160,65,7,0.6,2.2,1,同时攻击2个目标，造成溅射伤害
13,提亚卡乌好战者,2750,480,380,10,1,0.8,,0,每次攻击降低目标10点防御力
12,酸液源石虫,1390,435,0,0,3.3,1,1.75,0,每次攻击降低目标15点防御力
